word,rank,freq
"the",1,4.365162306863675e-2
"and",2,3.8040419955946425e-2
"i",3,3.476051899609306e-2
"to",4,2.7637988970529125e-2
"of",5,2.3784641274230803e-2
"a",6,2.1694508309618363e-2
"in",7,1.6233366025156626e-2
"that",8,1.6008274782813747e-2
"was",9,1.5199018173438161e-2
"it",10,1.4309371834654404e-2
"he",11,1.1833368168882743e-2
"you",12,1.1715463232417426e-2
"had",13,1.1217046910086768e-2
"my",14,1.1093782658327571e-2
"me",15,1.0707911957168352e-2
"his",16,9.962967131319302e-3
"as",17,9.507425331339667e-3
"with",18,9.432394917225376e-3
"at",19,8.78391776666613e-3
"on",20,7.610227717306837e-3
"for",21,7.406573736139471e-3
"said",22,7.229716331441495e-3
"her",23,6.28111752442508e-3
"him",24,6.168571903253641e-3
"have",25,5.820216409151566e-3
"but",26,5.72910804915564e-3
"not",27,5.718389418567883e-3
"be",28,5.541532013869908e-3
"she",29,4.759071980963712e-3
"when",30,4.726916089200444e-3
"by",31,4.35176401862898e-3
"were",32,4.271374289220809e-3
"so",33,4.260655658633053e-3
"out",34,4.223140451575906e-3
"if",35,4.180265929224883e-3
"we",36,4.078438938641199e-3
"this",37,4.003408524526906e-3
"all",38,3.944456056294248e-3
"mr",39,3.8104731739472967e-3
"joe",40,3.7086461833636133e-3
"there",41,3.6979275527758574e-3
"is",42,3.5103515174901255e-3
"no",43,3.4567583645513447e-3
"up",44,3.4085245269064425e-3
"what",45,3.4031652116125644e-3
"been",46,3.263823013971735e-3
"would",47,3.2102298610329543e-3
"from",48,3.1030435551553932e-3
"or",49,3.0226538257472225e-3
"which",50,2.9369047810451736e-3
"one",51,2.690376277526783e-3
"into",52,2.6367831245880024e-3
"could",53,2.5885492869431002e-3
"do",54,2.4545664045961487e-3
"now",55,2.4277698281267583e-3
"an",56,2.390254621069612e-3
"then",57,2.3473800987185876e-3
"more",58,2.165163378726734e-3
"very",59,2.1330074869634653e-3
"your",60,2.079414334024685e-3
"miss",61,2.0526177575552946e-3
"know",62,2.047258442261417e-3
"come",63,2.0043839199103924e-3
"time",64,1.9990246046165143e-3
"little",65,1.988305974028758e-3
"down",66,1.98294665873488e-3
"them",67,1.972228028147124e-3
"upon",68,1.961509397559368e-3
"they",69,1.9454314516777337e-3
"again",70,1.9239941905022215e-3
"should",71,1.8757603528573189e-3
"who",72,1.773933362273636e-3
"like",73,1.7524961010981237e-3
"pip",74,1.7471367858042457e-3
"some",75,1.7417774705103676e-3
"looked",76,1.7417774705103676e-3
"about",77,1.7149808940409774e-3
"never",78,1.688184317571587e-3
"old",79,1.672106371689953e-3
"well",80,1.6667470563960748e-3
"much",81,1.6667470563960748e-3
"before",82,1.6560284258083187e-3
"man",83,1.6453097952205625e-3
"did",84,1.6292318493389285e-3
"say",85,1.6131539034572942e-3
"made",86,1.6077945881634163e-3
"than",87,1.57027938110627e-3
"after",88,1.5649200658123918e-3
"went",89,1.5542014352246357e-3
"herbert",90,1.5542014352246357e-3
"how",91,1.5381234893430016e-3
"dont",92,1.5274048587552455e-3
"way",93,1.479171021110343e-3
"see",94,1.4684523905225868e-3
"its",95,1.4684523905225868e-3
"are",96,1.4684523905225868e-3
"hand",97,1.4470151293470746e-3
"any",98,1.4416558140531966e-3
"here",99,1.4362964987593185e-3
"us",100,1.4202185528776844e-3
"being",101,1.4202185528776844e-3
"go",102,1.3987812917021722e-3
"over",103,1.3827033458205379e-3
"our",104,1.3827033458205379e-3
"wemmick",105,1.3719847152327818e-3
"good",106,1.3719847152327818e-3
"two",107,1.3612660846450257e-3
"saw",108,1.3398288234695134e-3
"put",109,1.3183915622940012e-3
"back",110,1.3076729317062453e-3
"took",111,1.3023136164123672e-3
"havisham",112,1.3023136164123672e-3
"am",113,1.3023136164123672e-3
"think",114,1.291594985824611e-3
"going",115,1.291594985824611e-3
"thought",116,1.275517039942977e-3
"got",117,1.275517039942977e-3
"estella",118,1.2701577246490988e-3
"myself",119,1.2594390940613427e-3
"came",120,1.2594390940613427e-3
"head",121,1.2433611481797086e-3
"might",122,1.2219238870041964e-3
"biddy",123,1.2219238870041964e-3
"boy",124,1.1629714187715377e-3
"day",125,1.1576121034776597e-3
"done",126,1.1361748423021475e-3
"jaggers",127,1.1308155270082693e-3
"night",128,1.1254562117143914e-3
"dear",129,1.1200968964205132e-3
"first",130,1.0772223740694888e-3
"where",131,1.0718630587756108e-3
"while",132,1.0665037434817327e-3
"great",133,1.0665037434817327e-3
"quite",134,1.0611444281878547e-3
"must",135,1.0611444281878547e-3
"such",136,1.0397071670123425e-3
"look",137,1.0397071670123425e-3
"other",138,1.0343478517184646e-3
"too",139,1.0289885364245864e-3
"looking",140,1.0289885364245864e-3
"ever",141,1.0289885364245864e-3
"own",142,1.0236292211307084e-3
"pocket",143,1.0075512752490742e-3
"off",144,9.96832644661318e-4
"last",145,9.9147332936744e-4
"house",146,9.9147332936744e-4
"hands",147,9.753953834858058e-4
"round",148,9.700360681919278e-4
"room",149,9.700360681919278e-4
"eyes",150,9.646767528980497e-4
"himself",151,9.593174376041717e-4
"nothing",152,9.432394917225375e-4
"their",153,9.378801764286594e-4
"will",154,9.325208611347814e-4
"take",155,9.271615458409033e-4
"long",156,9.271615458409033e-4
"knew",157,9.271615458409033e-4
"always",158,9.271615458409033e-4
"only",159,9.218022305470253e-4
"yes",160,8.950056540776351e-4
"may",161,8.950056540776351e-4
"face",162,8.84287023489879e-4
"mrs",163,8.789277081960009e-4
"mind",164,8.574904470204887e-4
"make",165,8.574904470204887e-4
"another",166,8.521311317266106e-4
"away",167,8.467718164327326e-4
"without",168,8.414125011388545e-4
"still",169,8.360531858449765e-4
"sister",170,8.253345552572204e-4
"get",171,8.253345552572204e-4
"young",172,8.199752399633423e-4
"once",173,8.199752399633423e-4
"tell",174,8.092566093755862e-4
"having",175,8.092566093755862e-4
"door",176,7.93178663493952e-4
"found",177,7.87819348200074e-4
"under",178,7.824600329061959e-4
"seen",179,7.824600329061959e-4
"asked",180,7.824600329061959e-4
"fire",181,7.771007176123178e-4
"seemed",182,7.610227717306837e-4
"place",183,7.610227717306837e-4
"left",184,7.610227717306837e-4
"though",185,7.556634564368056e-4
"these",186,7.556634564368056e-4
"told",187,7.503041411429276e-4
"home",188,7.503041411429276e-4
"returned",189,7.449448258490495e-4
"pumblechook",190,7.395855105551715e-4
"even",191,7.288668799674153e-4
"felt",192,7.181482493796592e-4
"both",193,7.127889340857812e-4
"table",194,7.074296187919031e-4
"sir",195,7.020703034980251e-4
"better",196,7.020703034980251e-4
"something",197,6.913516729102689e-4
"let",198,6.913516729102689e-4
"can",199,6.806330423225128e-4
"through",200,6.752737270286348e-4
"those",201,6.699144117347567e-4
"life",202,6.645550964408787e-4
"yet",203,6.591957811470006e-4
"why",204,6.591957811470006e-4
"most",205,6.591957811470006e-4
"stood",206,6.538364658531227e-4
"same",207,6.538364658531227e-4
"right",208,6.538364658531227e-4
"name",209,6.484771505592446e-4
"until",210,6.431178352653665e-4
"sat",211,6.270398893837324e-4
"ill",212,6.270398893837324e-4
"has",213,6.163212587959763e-4
"moment",214,6.109619435020982e-4
"light",215,6.109619435020982e-4
"gone",216,6.109619435020982e-4
"side",217,6.056026282082202e-4
"heard",218,6.002433129143421e-4
"between",219,6.002433129143421e-4
"gentleman",220,5.89524682326586e-4
"half",221,5.734467364449518e-4
"gave",222,5.734467364449518e-4
"whether",223,5.680874211510738e-4
"began",224,5.680874211510738e-4
"soon",225,5.520094752694396e-4
"air",226,5.520094752694396e-4
"shall",227,5.466501599755615e-4
"course",228,5.466501599755615e-4
"brought",229,5.466501599755615e-4
"coming",230,5.359315293878054e-4
"wopsle",231,5.305722140939274e-4
"taken",232,5.305722140939274e-4
"rather",233,5.198535835061712e-4
"every",234,5.144942682122932e-4
"because",235,5.091349529184151e-4
"want",236,4.98416322330659e-4
"times",237,4.98416322330659e-4
"thing",238,4.98416322330659e-4
"manner",239,4.98416322330659e-4
"anything",240,4.98416322330659e-4
"far",241,4.93057007036781e-4
"many",242,4.876976917429029e-4
"heart",243,4.876976917429029e-4
"towards",244,4.769790611551468e-4
"word",245,4.7161974586126874e-4
"since",246,4.7161974586126874e-4
"often",247,4.7161974586126874e-4
"chair",248,4.7161974586126874e-4
"whom",249,4.662604305673907e-4
"turned",250,4.662604305673907e-4
"just",251,4.662604305673907e-4
"give",252,4.662604305673907e-4
"three",253,4.6090111527351263e-4
"part",254,4.6090111527351263e-4
