word,rank,freq
"the",1,6.906772093886004e-2
"of",2,3.59852278232351e-2
"and",3,2.8532047000227916e-2
"to",4,2.588880217300575e-2
"a",5,2.3094599354531255e-2
"in",6,2.1133132121788568e-2
"that",7,1.0454580884377031e-2
"is",8,9.96717403680415e-3
"was",9,9.684004471513833e-3
"he",10,9.414648055749871e-3
"for",11,9.372221953633204e-3
"it",12,8.65393817826264e-3
"with",13,7.19369094261919e-3
"as",14,7.162118029416089e-3
"his",15,6.906574763178484e-3
"on",16,6.675697835380804e-3
"be",17,6.301756144631568e-3
"at",18,5.3101693393466575e-3
"by",19,5.276623119068362e-3
"i",20,5.1157985924400635e-3
"this",21,5.077319104473783e-3
"had",22,5.062519301409829e-3
"not",23,4.5583393436978e-3
"are",24,4.335355644200895e-3
"but",25,4.323515801749732e-3
"from",26,4.312662612836166e-3
"or",27,4.15381139328306e-3
"have",28,3.889388245207084e-3
"an",29,3.698964112450877e-3
"they",30,3.5706991525632763e-3
"which",31,3.5134732473826548e-3
"one",32,3.39310151579583e-3
"were",33,3.3023293903369126e-3
"you",34,3.243130178081097e-3
"all",35,3.05270604532489e-3
"her",36,2.9964667936818656e-3
"she",37,2.8208424639896124e-3
"there",38,2.6886308899516246e-3
"would",39,2.6836976222636396e-3
"their",40,2.6343649453837935e-3
"we",41,2.617591835244646e-3
"him",42,2.58404561496635e-3
"been",43,2.439994198477199e-3
"has",44,2.4064479781989033e-3
"when",45,2.2998893961384353e-3
"who",46,2.221943766668278e-3
"will",47,2.2199704595930844e-3
"no",48,2.1893841999275796e-3
"more",49,2.1883975463899826e-3
"if",50,2.169651129175641e-3
"out",51,2.1351182553597486e-3
"its",52,2.131171641209361e-3
"so",53,2.0019200277841638e-3
"up",54,1.9476540832163327e-3
"said",55,1.9348275872275726e-3
"what",56,1.8845082568101294e-3
"about",57,1.7927494778136152e-3
"than",58,1.7720297535240798e-3
"into",59,1.7670964858360952e-3
"them",60,1.7651231787609012e-3
"can",61,1.7493367221593505e-3
"only",62,1.7236837301818303e-3
"other",63,1.6822442816027594e-3
"time",64,1.6713910926891933e-3
"new",65,1.6240317228845408e-3
"some",66,1.59541877029423e-3
"could",67,1.5776590066174853e-3
"these",68,1.5520060146399651e-3
"two",69,1.4957667629969403e-3
"may",70,1.381314952635697e-3
"first",71,1.3704617637221308e-3
"then",72,1.3586219212709677e-3
"do",73,1.35467530712058e-3
"any",74,1.3270490080678659e-3
"like",75,1.3201424333046875e-3
"my",76,1.3023826696279429e-3
"now",77,1.299422709015152e-3
"over",78,1.286596213026392e-3
"such",79,1.285609559488795e-3
"our",80,1.2362768826089487e-3
"man",81,1.2214770795449948e-3
"me",82,1.1681977885147608e-3
"even",83,1.1583312531387915e-3
"most",84,1.1464914106876284e-3
"f",85,1.1346515682364652e-3
"made",86,1.1316916076236745e-3
"after",87,1.0626258599918898e-3
"also",88,1.0547326316911142e-3
"well",89,1.0537459781535174e-3
"did",90,1.0300662932511912e-3
"many",91,1.0231597184880126e-3
"before",92,1.0024399941984772e-3
"must",93,9.994800335856864e-4
"years",94,9.89613498209717e-4
"back",95,9.63960506232197e-4
"through",96,9.590272385442125e-4
"much",97,9.304142859539016e-4
"where",98,9.254810182659169e-4
"your",99,9.126545222771569e-4
"way",100,9.1166786873956e-4
"down",101,9.10681215201963e-4
"should",102,8.761483413860707e-4
"because",103,8.71215073698086e-4
"long",104,8.672684595476983e-4
"each",105,8.652951524725044e-4
"just",106,8.603618847845198e-4
"h",107,8.564152706341321e-4
"state",108,8.495086958709536e-4
"those",109,8.386555069573874e-4
"people",110,8.386555069573874e-4
"too",111,8.297756251190151e-4
"how",112,8.287889715814182e-4
"mr",113,8.278023180438212e-4
"little",114,8.228690503558366e-4
"good",115,8.208957432806427e-4
"us",116,8.17935782667852e-4
"world",117,8.05109286679092e-4
"make",118,7.942560977655257e-4
"very",119,7.853762159271534e-4
"year",120,7.824162553143626e-4
"still",121,7.745230270135872e-4
"see",122,7.646564916376179e-4
"own",123,7.62683184562424e-4
"work",124,7.616965310248272e-4
"men",125,7.587365704120364e-4
"day",126,7.429501138104856e-4
"get",127,7.419634602728886e-4
"here",128,7.399901531976948e-4
"old",129,7.37030192584904e-4
"life",130,7.202570824457562e-4
"both",131,7.202570824457562e-4
"between",132,7.202570824457562e-4
"being",133,7.113772006073839e-4
"under",134,7.044706258442055e-4
"three",135,6.946040904682361e-4
"never",136,6.906574763178485e-4
"know",137,6.798042874042822e-4
"same",138,6.758576732538946e-4
"last",139,6.748710197162977e-4
"another",140,6.748710197162977e-4
"while",141,6.719110591035069e-4
"off",142,6.659911378779253e-4
"might",143,6.630311772651346e-4
"great",144,6.610578701899407e-4
"states",145,6.442847600507929e-4
"go",146,6.245516892988544e-4
"come",147,6.235650357612574e-4
"since",148,6.196184216108698e-4
"against",149,6.186317680732729e-4
"right",150,6.176451145356759e-4
"came",151,6.136985003852882e-4
"take",152,6.117251933100943e-4
"used",153,6.048186185469159e-4
"himself",154,5.949520831709466e-4
"house",155,5.929787760957527e-4
"few",156,5.929787760957527e-4
"american",157,5.90018815482962e-4
"use",158,5.860722013325743e-4
"place",159,5.811389336445896e-4
"during",160,5.77192319494202e-4
"without",161,5.752190124190081e-4
"high",162,5.752190124190081e-4
"again",163,5.722590518062173e-4
"home",164,5.584459022798603e-4
"around",165,5.564725952046665e-4
"small",166,5.466060598286972e-4
"however",167,5.446327527535034e-4
"found",168,5.318062567647433e-4
"mrs",169,5.298329496895495e-4
"part",170,5.239130284639679e-4
"thought",171,5.09113225400014e-4
"school",172,5.08126571862417e-4
"went",173,5.002333435616417e-4
"say",174,4.992466900240447e-4
"once",175,4.982600364864478e-4
"general",176,4.982600364864478e-4
"upon",177,4.903668081856724e-4
"war",178,4.854335404976878e-4
"left",179,4.854335404976878e-4
"every",180,4.854335404976878e-4
"dont",181,4.834602334224939e-4
"does",182,4.785269657345093e-4
"united",183,4.755670051217185e-4
"got",184,4.755670051217185e-4
"number",185,4.6570046974574923e-4
"hand",186,4.637271626705554e-4
"course",187,4.587938949825708e-4
"water",188,4.5583393436978e-4
"until",189,4.5484728083218306e-4
"away",190,4.528739737569892e-4
"always",191,4.528739737569892e-4
"public",192,4.4991401314419845e-4
"something",193,4.449807454562138e-4
"fact",194,4.410341313058261e-4
"less",195,4.4004747776822916e-4
"though",196,4.3511421008024455e-4
"far",197,4.3511421008024455e-4
"put",198,4.3215424946745377e-4
"head",199,4.301809423922599e-4
"think",200,4.2820763531706605e-4
"set",201,4.272209817794691e-4
"called",202,4.272209817794691e-4
"enough",203,4.262343282418722e-4
"almost",204,4.262343282418722e-4
"end",205,4.222877140914845e-4
"took",206,4.2031440701629065e-4
